DATETIME,LABEL,title,RETWEET,FIRST3
2018-05-18 3:35,1,"We are thankful for the great audience at Monaco International Blockchain. Now off to the next one, see you soon Malta! #mibmonaco #monaco #cryptonews #blockchain #conference #pitch #crypto #bitcoin #ethereum #bethereumpic.twitter.com/kyqcJoFsrR",713,We are thankful
2018-05-18 3:57,0,"Dont miss AI Technology Network (ATN)s Social Media #Airdrop  $25,000+ in ATN #tokens to earn, starting today at 12:00 (GMT+1)!  - Go to:   https://telegram.atn.io/  - Enter ETH wallet address - Confirm email - Join/follow/retweet = #free tokens  Details:   https://medium.com/@atnio/ai-technology-network-atn-social-media-airdrop-starts-today-8dd9bbbe72a2 pic.twitter.com/aEAOpvSEzT",465,Dont miss AI
2018-05-18 1:29,0,"If you're new to the #Blockchain space, you've probably heard the terms #ICO & #TGE, and wondered what they meant.  Let's take a look ->  http://bit.ly/Elysian_TGE   #cryptocurrency #crypto #ecommerce #fintech #tokens #tokengeneration #tech #blog #elysian #elycoin #ethereum $ETH $ELY",302,If you're new
2018-05-18 0:17,0,#ZCASH almost up 20% in few hours. To make 20% in #bitcoin it has to move 1600$ & #ETH needs to move 130$  This is the power of trading with the trends  Retweet if you want to be part of the beta testing group. We will select 25 people if we cross 500 RTs pic.twitter.com/6L5XBzxLrS,259,#ZCASH almost up
2018-05-18 2:53,1,"We at nChain will be releasing technology to tokenise everything securely... even other Crypto  Soon, ETH and others like BTC will be just sidechains on BCH with limited use cases. pic.twitter.com/jQNAEVyI17",258,We at nChain
2018-05-02 23:40,-1,"Why the hell is everyone so bullish on $ETH. Well, I'm not and I'm shorting! pic.twitter.com/noVau2rbdS",244,Why the hell
2018-05-18 1:26,0,StakeIt Merchandise Store Event #3  https://www.stake-it.com/merchandise-store/   We are giving away 1 #Ethereum T-shirt!  How to participate: 1. Follow us 2. Retweet this tweet 3. Leave a comment with the hashtag #StakeIt & #Cryptocurrency  1 winner announced on 31 MAY 2018!pic.twitter.com/NNz9u6wQAU,136,StakeIt Merchandise Store
2018-05-18 1:38,1,"100,000 installations of the DENT Apps reached this morning! Blockchain goes mainstream: DENT Android Download:   http://bit.ly/2sVPUIj    iOS App download:   https://apple.co/2zKC4Xq  #dentcoin #blockchain #bitcoin #eth #btc #gsma #cryptocurrency #ethereum pic.twitter.com/mkWn2G2ysZ",125,"100,000 installations of"
2018-05-18 3:45,0,"#Vote an #PREICO for a chance to #Win 100,000 ZDR tokens  1. Follow @zloadr 2. Click here    http://bit.ly/2IufDz3  3. Click the green thumb on @Eternal_Trusts profile page 4. Comment on this tweet that you have voted and paste wallet address  #zloadr #Ethereum #blockchainpic.twitter.com/7GEG1kwEZi",121,#Vote an #PREICO
2018-05-18 1:31,0,"#Skyfleet, check out this behind the scenes peek at the next wave of Official #Skyminers that will soon be en route! $SKY #Skycoin $BTC $ETH #cryptocurrency #hardware #TheNewInternet #NetNeutralitypic.twitter.com/c6Qy2o4ffA",120,"#Skyfleet, check out"
2018-05-18 4:15,0,"Yesterday, the 37th net transactional revenue share was distributed to all Banker (BNK) token holders:  https://blog.bankera.com/2018/05/17/the-37th-week-net-transactional-revenue-share-has-been-paid/ . To check your commission, click on your SpectroCoin ETH wallet once you log in to your account. #ETH #BNKpic.twitter.com/UpFYGcsD3c",120,"Yesterday, the 37th"
2018-05-02 23:02,1,$ETH looks to be breaking out. Altseason continue.,17,$ETH looks to
2018-05-18 0:13,-1,""" $XRP is garbage"", yet it can do something that none of the digital assets can: STREAMING PAYMENTS. Good luck to $ETH and $BTC and $LTC and others trying to do this. @justmoon even started a new company @Coil_ to showcase this use case to change the WEB.pic.twitter.com/VxlJPOabza",15,""" $XRP is"
2018-05-18 0:01,0,"Cryptfunder - Funding for ICO's - Launching May 25, 2018 - Your Gateway to Emerging Startups Before They Soar. Welcome to the Ground Floor.   https://ift.tt/2IKR0tk  #cryptfunder #cfnd #cryptocurrency #crypto #cryptocurrencies #bitcoin #btc #eth #ethereum   https://ift.tt/2Iqmqto pic.twitter.com/T9SJdKsO6C",111,Cryptfunder - Funding
2018-05-18 3:53,0,Sambaaaaaaa!   My man @cryptomocho made me aware of this Brazilian project @LunesPlatform.  Ill put some $LTC in instead of $ETH  - own blockchain $LNS (refreshing) - huge Latin American market  - multiple products that could find market fit  website:  https://lunes.io/ pic.twitter.com/nYFhAlgeDE,11,Sambaaaaaaa!  
2018-05-18 0:55,1,"Trolling ETH hodlers is cool and all,  But have you baited ETH hodlers into proving ETH is centralized for you by trolling Vitalik and watching them instinctually white knight him?",100,Trolling ETH hodlers
2018-05-02 2:02,-1,"Ethereum's creation in 2014 may have been an ""illegal securities sale""  and the price is falling due to regulatory scrutiny.  https://cnb.cx/2KtMuB5",18,Ethereum's creation in
2018-05-18 3:01,0,"the EXACT SAME PEOPLE that will soon be taking us past the moon in Cryptoland later in 2018, are doing a MASTERFUL job here,  of major PRICE manipulation. Its the PERFECT Crime!! Will U Fall For it?   #tron $btc $ltc $eth #LitecoinFam #Ltc #Litecoin  #Bitcoin  #Crypto",17,the EXACT SAME
2018-05-18 0:30,1,"In this article, our Co-Founder @avadhoot_kulk helps simplify the process of deploying a smart contract into a step-by-step flow. Now anyone can deploy your very own #ETHEREUM #SmartContract!  https://buff.ly/2wQcAM2 pic.twitter.com/szC2VU7OJU",16,"In this article,"
2018-05-18 3:30,0,iOS users can now try out the new AI-powered Google News app  Read more here    http://bit.ly/2Gs8XeR   #Peculium  $PCL $BTC $ETH #CryptoSavings #Blockchain #AI #fintech #Cryptocurrency  #Crypto #CrowdSale #machinelearning #neuralnetwork #sklearn #python #ArtificialIntelligence,6,iOS users can
